Sample,X,Y,Z
0,0.0059,0.0139,0.9827
1,0.0054,0.0149,0.9797
2,0.0078,0.0088,0.9819
3,0.0054,0.0068,0.9817
4,0.0049,0.0112,0.9829
5,0.0107,0.0107,0.9836
6,0.0088,0.0061,0.9827
7,0.0098,0.0107,0.9788
8,0.0073,0.0120,0.9839
9,0.0085,0.0146,0.9819
10,0.0095,0.0122,0.9807
11,0.0042,0.0076,0.9846
12,0.0103,0.0098,0.9868
13,0.0085,0.0078,0.9797
14,0.0107,0.0054,0.9827
15,0.0044,0.0098,0.9819
16,0.0120,0.0154,0.9800
17,0.0120,0.0093,0.9812
18,0.0081,0.0061,0.9839
19,0.0105,0.0115,0.9810
20,0.0032,0.0103,0.9778
21,0.0117,0.0095,0.9846
22,0.0098,0.0122,0.9866
23,0.0093,0.0081,0.9849
24,0.0056,0.0098,0.9849
25,0.0042,0.0159,0.9771
26,0.0100,0.0112,0.9800
27,0.0066,0.0051,0.9878
28,0.0107,0.0129,0.9856
29,0.0098,0.0161,0.9807
30,0.0088,0.0020,0.9758
31,0.0078,0.0088,0.9839
32,0.0056,0.0159,0.9827
33,0.0068,0.0134,0.9797
34,0.0132,0.0063,0.9836
35,0.0063,0.0073,0.9836
36,0.0054,0.0115,0.9819
37,0.0076,0.0100,0.9771
38,0.0046,0.0044,0.9836
39,0.0120,0.0125,0.9858
40,0.0046,0.0068,0.9829
41,0.0049,0.0071,0.9761
42,0.0059,0.0112,0.9836
43,0.0149,0.0103,0.9878
44,0.0073,0.0110,0.9827
45,0.0024,0.0002,0.9788
46,0.0059,0.0061,0.9836
47,0.0073,0.0068,0.9788
48,0.0061,0.0107,0.9800
49,0.0093,0.0090,0.9895
50,0.0042,0.0076,0.9790
51,0.0137,0.0115,0.9780
52,0.0063,0.0139,0.9856
53,0.0476,-0.0227,0.9556
54,0.7004,0.0564,0.8657
55,1.2532,0.0083,0.9634
56,0.6340,-0.2417,1.3384
57,1.2026,0.2681,0.8997
58,0.6470,0.0879,0.3479
59,1.0933,-0.0566,1.0608
60,1.1692,0.0698,1.5396
61,-0.0713,0.0435,0.8879
62,-0.1499,0.0452,0.5767
63,0.2495,0.1855,0.8469
64,0.4409,-0.1082,0.9875
65,-0.0640,-0.1345,1.5571
66,0.2119,-0.0613,0.7952
67,0.6067,-0.0132,0.6558
68,0.8748,-0.0486,0.9517
69,0.9788,0.0642,1.3706
70,1.0999,-0.0027,1.0063
71,0.4438,-0.0291,0.5559
72,0.9846,0.2341,1.0630
73,0.8472,0.1880,1.1536
74,0.1233,-0.1160,0.9868
75,0.3967,-0.0303,0.9204
76,0.3872,-0.1770,1.0979
77,0.2173,-0.0110,0.8938
78,0.2412,-0.1370,0.9663
79,0.4285,-0.0483,1.0298
80,0.6851,-0.0310,0.9045
81,0.6392,-0.0449,1.0002
82,0.6736,-0.1460,1.0474
83,0.5696,0.0645,0.8276
84,0.7297,0.0308,0.9565
85,0.9282,0.0376,1.1965
86,0.5403,0.0388,0.9478
87,0.4641,0.0449,0.7856
88,0.4426,0.0081,1.0571
89,0.2991,0.0989,0.9692
90,0.3801,0.0083,0.8921
91,0.4329,0.0012,1.0259
92,0.4075,0.0225,1.0669
93,0.3218,0.0176,0.9456
94,0.8137,0.1267,0.9644
95,0.4197,-0.0854,1.0122
96,0.7014,0.1306,0.9399
97,0.6204,0.0457,0.8921
98,0.5659,-0.0330,1.1038
99,0.6646,-0.1770,0.9231
100,0.2866,-0.0896,0.9700
101,-0.3494,0.1331,0.9670
102,-0.1606,-0.0740,1.0542
103,-0.3835,0.0208,0.7815
104,-0.6580,-0.0996,1.1331
105,-0.6196,0.0166,1.2476
