Sample,X,Y,Z
0,0.0083,0.0125,0.9788
1,0.0093,0.0059,0.9836
2,0.0032,0.0034,0.9780
3,0.0103,0.0149,0.9819
4,0.0090,0.0139,0.9878
5,0.0078,0.0034,0.9827
6,0.0039,0.0071,0.9778
7,0.0110,0.0117,0.9827
8,0.0071,0.0081,0.9817
9,0.0085,0.0093,0.9788
10,-0.0012,0.0071,0.9846
11,0.0066,0.0107,0.9790
12,0.0098,0.0120,0.9856
13,0.0032,0.0027,0.9858
14,-0.0005,0.0098,0.9819
15,0.0176,0.0210,0.9768
16,0.0125,0.0129,0.9875
17,0.0051,0.0115,0.9895
18,0.0205,0.0144,0.9741
19,0.0112,0.0107,0.9758
20,0.0100,0.0127,0.9905
21,0.0049,0.0151,0.9868
22,0.0178,0.0247,0.9702
23,0.0134,0.0139,0.9810
24,0.0044,0.0107,0.9905
25,0.0186,0.0178,0.9819
26,0.0195,0.0186,0.9800
27,0.0139,0.0054,0.9846
28,0.0042,0.0068,0.9905
29,0.0134,0.0149,0.9731
30,0.0093,0.0122,0.9836
31,0.0037,0.0083,0.9924
32,0.0125,0.0103,0.9836
33,0.0083,0.0103,0.9849
34,0.0017,0.0061,0.9749
35,0.0056,0.0110,0.9778
36,0.0088,0.0076,0.9827
37,0.0054,0.0112,0.9817
38,0.0007,0.0073,0.9749
39,0.0076,0.0107,0.9846
40,0.0085,0.0129,0.9827
41,0.0098,0.0100,0.9800
42,0.0076,0.0063,0.9866
43,0.0017,0.0068,0.9817
44,0.0076,0.0083,0.9768
45,0.0137,0.0144,0.9780
46,0.0049,0.0027,0.9885
47,0.0103,0.0076,0.9836
48,0.0100,0.0129,0.9768
49,0.0159,0.0190,0.9895
50,0.0146,0.0110,0.9797
51,0.0068,0.0117,0.9827
52,0.0139,0.0186,0.9836
53,0.0115,0.0154,0.9722
54,0.0688,0.2847,1.0452
55,0.0923,0.5073,1.0042
56,-0.0239,0.6746,1.0386
57,-0.1169,0.8748,0.9116
58,-0.0522,1.0962,0.8801
59,-0.1433,0.9673,0.9319
60,-0.0210,0.9438,1.0520
61,0.1353,1.1763,0.8606
62,0.0583,0.9028,0.9084
63,0.0916,0.7476,1.0129
64,-0.0623,0.4146,0.6711
65,0.1167,0.4751,1.0002
66,0.1729,0.3286,1.0979
67,-0.1682,0.0051,1.1614
68,-0.0869,-0.1624,1.0657
69,0.0737,0.2407,0.7708
70,0.0105,0.3599,0.9358
71,-0.2170,0.2917,1.3481
72,-0.0603,0.2673,0.9487
73,0.2444,0.5032,0.8608
74,0.0542,0.7280,1.0149
75,-0.1968,0.9207,0.9819
76,0.0093,0.9604,0.9895
77,0.1692,0.9272,0.9700
78,0.0969,0.9324,1.0503
79,-0.1335,0.8950,1.0295
80,0.0132,0.7644,0.9585
81,0.0881,0.5513,0.9426
82,0.0662,0.4922,1.1128
83,0.0376,0.4841,0.9858
84,-0.0823,0.2573,0.8342
85,0.1125,0.3279,1.0522
86,0.0959,0.1677,1.0786
87,-0.0264,0.2395,1.0630
88,-0.0918,0.2917,0.9614
89,-0.0581,0.4050,0.8569
90,0.0078,0.4790,0.9612
91,-0.1428,0.4126,0.8850
92,-0.0881,0.6968,1.1311
93,-0.0063,0.8022,1.1350
94,0.1729,0.8230,0.8394
95,0.0579,0.7368,1.0081
96,0.0938,0.6646,0.8508
