RepRapFirmware height map file v2 generated at 2026-08-29 15:04, min error -0.100, max error 0.158, mean 0.024, deviation 0.052
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,20.00,230.00,25.00,240.00,-1.00,20.00,20.00,11,11
 -0.028,  0.045,  0.045,  0.023,  0.001, -0.017, -0.028, -0.017, -0.010,  0.012,  0.023
  0.001,  0.073,  0.084,  0.045,  0.012, -0.017, -0.028, -0.028, -0.010,  0.023,  0.012
  0.012,  0.084,  0.073,  0.045,  0.023, -0.010, -0.040, -0.051, -0.028,  0.001,  0.012
  0.012,  0.063,  0.052,  0.034,  0.001, -0.010, -0.040, -0.062, -0.051, -0.017, -0.010
  0.012,  0.063,  0.045,  0.023,  0.012, -0.010, -0.017, -0.051, -0.058, -0.028, -0.017
  0.052,  0.073,  0.063,  0.052,  0.045,  0.023,  0.001, -0.028, -0.028, -0.017, -0.017
  0.052,  0.091,  0.084,  0.073,  0.052,  0.034,  0.012, -0.017, -0.017, -0.010, -0.028
  0.084,  0.130,  0.123,  0.091,  0.063,  0.045,  0.023,  0.012,  0.001, -0.010, -0.028
  0.109,  0.148,  0.137,  0.113,  0.084,  0.052,  0.034,  0.012,  0.012, -0.010, -0.040
  0.109,  0.158,  0.137,  0.102,  0.073,  0.052,  0.023,  0.001,  0.001, -0.010, -0.051
  0.091,  0.130,  0.091,  0.084,  0.052,  0.034,  0.012, -0.017, -0.040, -0.051, -0.100
