RepRapFirmware height map file v2 generated at 2026-08-31 13:58, min error -0.091, max error 0.169, mean 0.025, deviation 0.061
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,20.00,230.00,25.00,240.00,-1.00,20.00,20.00,11,11
 -0.047,  0.012,  0.017,  0.005, -0.022, -0.026, -0.047, -0.040, -0.026, -0.001,      0
      0,  0.066,  0.066,  0.041,  0.017, -0.008, -0.033, -0.033, -0.015,  0.005,  0.005
  0.030,  0.083,  0.077,  0.054,  0.017, -0.008, -0.033, -0.054, -0.040, -0.001,      0
      0,  0.072,  0.054,  0.043,  0.017, -0.008, -0.040, -0.063, -0.054, -0.026, -0.015
  0.048,  0.068,  0.054,  0.041,  0.030,  0.005, -0.026, -0.052, -0.059, -0.033,      0
      0,  0.090,  0.077,  0.072,  0.054,  0.030,  0.005, -0.022, -0.033, -0.033, -0.040
  0.096,  0.109,  0.096,  0.077,  0.059,  0.041,  0.017, -0.015, -0.026, -0.033,      0
      0,  0.140,  0.133,  0.103,  0.072,  0.048,  0.023, -0.001, -0.022, -0.040, -0.054
  0.133,  0.169,  0.150,  0.127,  0.083,  0.061,  0.037,  0.012, -0.008, -0.033,      0
      0,  0.163,  0.146,  0.114,  0.083,  0.052,  0.023, -0.001, -0.015, -0.052, -0.084
  0.127,  0.146,  0.127,  0.096,  0.066,  0.041,  0.017, -0.022, -0.047, -0.091,      0
